,Unnamed: 0,District,Event,Circle,Police Station,Caller Source,Event Type,Event Sub-Type,Create Date/Time,Latitude,Longitude,year,month,day,hour,minute,second,day_of_week,date,day_of_week_name
53,53,LUCKNOW,P05042106467,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-05 15:24:00,26.825,81.012,2021,4,5,15,24,0,0,2021-04-05,Monday
54,54,LUCKNOW,P05042108794,C1,PS1,PHONE,Encroachment,Government Land,2021-04-05 19:05:00,26.836,81.01,2021,4,5,19,5,0,0,2021-04-05,Monday
55,55,LUCKNOW,P05042111438,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,2021-04-05 22:07:00,26.844,81.038,2021,4,5,22,7,0,0,2021-04-05,Monday
56,56,LUCKNOW,P06042100037,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-06 00:05:00,26.827,81.046,2021,4,6,0,5,0,1,2021-04-06,Tuesday
57,57,LUCKNOW,P06042100153,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-06 00:19:00,26.835,81.022,2021,4,6,0,19,0,1,2021-04-06,Tuesday
58,58,LUCKNOW,P06042100796,C1,PS1,TWITTER,Dispute,Sewer Dispute,2021-04-06 02:45:00,26.839,81.017,2021,4,6,2,45,0,1,2021-04-06,Tuesday
59,59,LUCKNOW,P06042101350,C1,PS1,TWITTER,Animals Related,Found Injured Animal,2021-04-06 06:54:00,26.839,81.026,2021,4,6,6,54,0,1,2021-04-06,Tuesday
60,60,LUCKNOW,P06042103845,C1,PS1,PHONE,Threat In Person,Attack,2021-04-06 11:18:00,26.844,81.008,2021,4,6,11,18,0,1,2021-04-06,Tuesday
61,61,LUCKNOW,P06042108172,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-06 18:19:00,26.847,81.031,2021,4,6,18,19,0,1,2021-04-06,Tuesday
62,62,LUCKNOW,P06042111217,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-06 22:00:00,26.84,81.001,2021,4,6,22,0,0,1,2021-04-06,Tuesday
63,63,LUCKNOW,P06042111628,C1,PS1,PHONE,Unknown,Unknown,2021-04-06 22:23:00,26.819,81.015,2021,4,6,22,23,0,1,2021-04-06,Tuesday
64,64,LUCKNOW,P06042112282,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 23:04:00,26.822,81.018,2021,4,6,23,4,0,1,2021-04-06,Tuesday
65,65,LUCKNOW,P06042112907,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-06 23:54:00,26.825,81.012,2021,4,6,23,54,0,1,2021-04-06,Tuesday
66,66,LUCKNOW,P07042101225,C1,PS1,PHONE,Theft,Residential Building,2021-04-07 06:42:00,26.842,81.008,2021,4,7,6,42,0,2,2021-04-07,Wednesday
67,67,LUCKNOW,P07042102571,C1,PS1,PHONE,Missing,Women,2021-04-07 09:24:00,26.847,81.027,2021,4,7,9,24,0,2,2021-04-07,Wednesday
68,68,LUCKNOW,P07042104357,C1,PS1,PHONE,Property Disputes,Boundary Dispute,2021-04-07 12:14:00,26.838,81.008,2021,4,7,12,14,0,2,2021-04-07,Wednesday
69,69,LUCKNOW,P07042104458,C1,PS1,PHONE,Theft,Residential Building,2021-04-07 12:24:00,26.844,81.011,2021,4,7,12,24,0,2,2021-04-07,Wednesday
70,70,LUCKNOW,P07042105845,C1,PS1,PHONE,Animals Related,Cow Carcass And Slaughtering,2021-04-07 14:49:00,26.84,81.021,2021,4,7,14,49,0,2,2021-04-07,Wednesday
71,71,LUCKNOW,P07042107800,C1,PS1,PHONE,Robbery,On Road,2021-04-07 18:13:00,26.845,81.061,2021,4,7,18,13,0,2,2021-04-07,Wednesday
72,72,LUCKNOW,P07042108191,C1,PS1,PHONE,Corona,Help For Other,2021-04-07 18:46:00,26.818,81.018,2021,4,7,18,46,0,2,2021-04-07,Wednesday
73,73,LUCKNOW,P07042109168,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-07 20:18:00,26.837,81.024,2021,4,7,20,18,0,2,2021-04-07,Wednesday
74,74,LUCKNOW,P07042109222,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Men,2021-04-07 20:22:00,26.84,81.025,2021,4,7,20,22,0,2,2021-04-07,Wednesday
75,75,LUCKNOW,P07042111691,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,2021-04-07 22:55:00,26.84,81.001,2021,4,7,22,55,0,2,2021-04-07,Wednesday
76,76,LUCKNOW,P08042100847,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-08 03:08:00,26.826,81.011,2021,4,8,3,8,0,3,2021-04-08,Thursday
77,77,LUCKNOW,P08042103149,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-08 10:12:00,26.836,81.022,2021,4,8,10,12,0,3,2021-04-08,Thursday
78,78,LUCKNOW,P08042103692,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-08 11:08:00,26.843,81.031,2021,4,8,11,8,0,3,2021-04-08,Thursday
79,79,LUCKNOW,P08042106491,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-08 15:40:00,26.835,81.008,2021,4,8,15,40,0,3,2021-04-08,Thursday
80,80,LUCKNOW,P08042110382,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-08 21:16:00,26.85,81.036,2021,4,8,21,16,0,3,2021-04-08,Thursday
81,81,LUCKNOW,P08042111771,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,2021-04-08 22:29:00,26.834,81.011,2021,4,8,22,29,0,3,2021-04-08,Thursday
82,82,LUCKNOW,P09042106179,C1,PS1,PHONE,Dispute,Sewer Dispute,2021-04-09 14:40:00,26.84,81.025,2021,4,9,14,40,0,4,2021-04-09,Friday
83,83,LUCKNOW,P09042108089,C1,PS1,PHONE,Threat In Person,Attack,2021-04-09 17:41:00,26.847,81.028,2021,4,9,17,41,0,4,2021-04-09,Friday
84,84,LUCKNOW,P09042108304,C1,PS1,PHONE,Unknown,Unknown,2021-04-09 18:03:00,26.842,81.047,2021,4,9,18,3,0,4,2021-04-09,Friday
85,85,LUCKNOW,P09042108342,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-09 18:06:00,26.84,80.996,2021,4,9,18,6,0,4,2021-04-09,Friday
86,86,LUCKNOW,P09042108568,C1,PS1,PHONE,Information Against Police,Misbehavior By Ps Incharge,2021-04-09 18:28:00,26.835,81.014,2021,4,9,18,28,0,4,2021-04-09,Friday
87,87,LUCKNOW,P09042110362,C1,PS1,PHONE,Corona,Suspect Found Infected,2021-04-09 20:55:00,26.839,81.026,2021,4,9,20,55,0,4,2021-04-09,Friday
88,88,LUCKNOW,P09042110526,C1,PS1,PHONE,Robbery,On Road,2021-04-09 21:05:00,26.848,81.035,2021,4,9,21,5,0,4,2021-04-09,Friday
89,89,LUCKNOW,P09042110917,C1,PS1,PHONE,Theft,Other Location,2021-04-09 21:28:00,26.834,81.007,2021,4,9,21,28,0,4,2021-04-09,Friday
90,90,LUCKNOW,P09042111894,C1,PS1,PHONE,Dispute,With Neighbor,2021-04-09 22:21:00,26.844,81.041,2021,4,9,22,21,0,4,2021-04-09,Friday
91,91,LUCKNOW,P10042100057,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-10 00:06:00,26.849,81.03,2021,4,10,0,6,0,5,2021-04-10,Saturday
92,92,LUCKNOW,P10042100368,C1,PS1,PHONE,Unknown,Unknown,2021-04-10 00:42:00,26.823,81.015,2021,4,10,0,42,0,5,2021-04-10,Saturday
93,93,LUCKNOW,P10042103720,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-10 11:10:00,26.83,81.032,2021,4,10,11,10,0,5,2021-04-10,Saturday
94,94,LUCKNOW,P10042107534,C1,PS1,PHONE,Dispute,Dispute With Service Provider Or Vendor,2021-04-10 16:26:00,26.826,81.012,2021,4,10,16,26,0,5,2021-04-10,Saturday
95,95,LUCKNOW,P10042108065,C1,PS1,PHONE,Information Against Police,Prv Has Taken Money From The Caller,2021-04-10 17:13:00,26.833,81.019,2021,4,10,17,13,0,5,2021-04-10,Saturday
96,96,LUCKNOW,P10042112230,C1,PS1,PHONE,Theft,Residential Building,2021-04-10 22:18:00,26.834,81.008,2021,4,10,22,18,0,5,2021-04-10,Saturday
97,97,LUCKNOW,P10042112352,C1,PS1,PHONE,Unknown,Unknown,2021-04-10 22:23:00,26.825,81.027,2021,4,10,22,23,0,5,2021-04-10,Saturday
98,98,LUCKNOW,P11042100483,C1,PS1,PHONE,Illegal Mining,Illegal Mining,2021-04-11 01:02:00,26.832,81.031,2021,4,11,1,2,0,6,2021-04-11,Sunday
99,99,LUCKNOW,P11042103095,C1,PS1,PHONE,Corona,Black Marketing Over Stocking,2021-04-11 10:08:00,26.839,81.0,2021,4,11,10,8,0,6,2021-04-11,Sunday
100,100,LUCKNOW,P11042103368,C1,PS1,PHONE,Dispute,Dispute Between Ride And Driver,2021-04-11 10:32:00,26.835,81.012,2021,4,11,10,32,0,6,2021-04-11,Sunday
101,101,LUCKNOW,P11042104241,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-11 11:46:00,26.844,81.01,2021,4,11,11,46,0,6,2021-04-11,Sunday
102,102,LUCKNOW,P11042106321,C1,PS1,PHONE,Threat In Person,Attack,2021-04-11 14:10:00,26.834,81.011,2021,4,11,14,10,0,6,2021-04-11,Sunday
103,103,LUCKNOW,P11042108665,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-11 17:37:00,26.834,81.011,2021,4,11,17,37,0,6,2021-04-11,Sunday
104,104,LUCKNOW,P11042109137,C1,PS1,PHONE,Dispute,With Neighbor,2021-04-11 18:17:00,26.845,81.027,2021,4,11,18,17,0,6,2021-04-11,Sunday
105,105,LUCKNOW,P11042112305,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-11 21:59:00,26.829,81.008,2021,4,11,21,59,0,6,2021-04-11,Sunday
106,106,LUCKNOW,P11042112856,C1,PS1,PHONE,Unknown,Unknown,2021-04-11 22:25:00,26.844,81.016,2021,4,11,22,25,0,6,2021-04-11,Sunday
107,107,LUCKNOW,P12042100139,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,2021-04-12 00:11:00,26.836,81.008,2021,4,12,0,11,0,0,2021-04-12,Monday
108,108,LUCKNOW,P12042102357,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-12 08:43:00,26.833,81.028,2021,4,12,8,43,0,0,2021-04-12,Monday
109,109,LUCKNOW,P12042103722,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-12 10:43:00,26.836,81.025,2021,4,12,10,43,0,0,2021-04-12,Monday
110,110,LUCKNOW,P12042104863,C1,PS1,PHONE,Threat In Person,Attack,2021-04-12 12:18:00,26.834,81.008,2021,4,12,12,18,0,0,2021-04-12,Monday
111,111,LUCKNOW,P12042106151,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-12 14:06:00,26.841,81.0,2021,4,12,14,6,0,0,2021-04-12,Monday
112,112,LUCKNOW,P12042107626,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-12 16:14:00,26.838,81.0,2021,4,12,16,14,0,0,2021-04-12,Monday
113,113,LUCKNOW,P12042108150,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-12 17:02:00,26.839,81.026,2021,4,12,17,2,0,0,2021-04-12,Monday
114,114,LUCKNOW,P12042108879,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,2021-04-12 18:10:00,26.836,81.002,2021,4,12,18,10,0,0,2021-04-12,Monday
115,115,LUCKNOW,P12042110039,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-12 19:53:00,26.842,81.017,2021,4,12,19,53,0,0,2021-04-12,Monday
116,116,LUCKNOW,P12042112097,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-12 21:55:00,26.839,81.026,2021,4,12,21,55,0,0,2021-04-12,Monday
117,117,LUCKNOW,P12042112557,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,2021-04-12 22:17:00,26.837,81.031,2021,4,12,22,17,0,0,2021-04-12,Monday
118,118,LUCKNOW,P12042112584,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-12 22:18:00,26.837,81.031,2021,4,12,22,18,0,0,2021-04-12,Monday
119,119,LUCKNOW,P12042113702,C1,PS1,PHONE,Dispute,Dispute With Drunk Person,2021-04-12 23:20:00,26.834,81.011,2021,4,12,23,20,0,0,2021-04-12,Monday
120,120,LUCKNOW,P12042113826,C1,PS1,PHONE,Information Against Police,No Action Has Been Taken By Ps Incharge For Delivery Of Person Vehicle Goods By ,2021-04-12 23:29:00,26.85,81.044,2021,4,12,23,29,0,0,2021-04-12,Monday
121,121,LUCKNOW,P13042100307,C1,PS1,PHONE,Corona,Suspect Found Infected,2021-04-13 00:34:00,26.835,81.014,2021,4,13,0,34,0,1,2021-04-13,Tuesday
122,122,LUCKNOW,P13042101960,C1,PS1,PHONE,Threat In Person,Attack,2021-04-13 08:01:00,26.839,81.019,2021,4,13,8,1,0,1,2021-04-13,Tuesday
123,123,LUCKNOW,P13042102860,C1,PS1,PHONE,Threat In Person,Threatening To Kill,2021-04-13 09:32:00,26.834,81.008,2021,4,13,9,32,0,1,2021-04-13,Tuesday
124,124,LUCKNOW,P13042103512,C1,PS1,PHONE,Threat In Person,Attack,2021-04-13 10:26:00,26.838,81.028,2021,4,13,10,26,0,1,2021-04-13,Tuesday
125,125,LUCKNOW,P13042105183,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-13 12:42:00,26.841,81.002,2021,4,13,12,42,0,1,2021-04-13,Tuesday
126,126,LUCKNOW,P13042105546,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-13 13:08:00,26.826,81.002,2021,4,13,13,8,0,1,2021-04-13,Tuesday
127,127,LUCKNOW,P13042110307,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-13 19:29:00,26.835,81.037,2021,4,13,19,29,0,1,2021-04-13,Tuesday
128,128,LUCKNOW,P13042110333,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-13 19:32:00,26.833,81.022,2021,4,13,19,32,0,1,2021-04-13,Tuesday
129,129,LUCKNOW,P13042110538,C1,PS1,PHONE,Unknown,Unknown,2021-04-13 19:48:00,26.842,81.009,2021,4,13,19,48,0,1,2021-04-13,Tuesday
130,130,LUCKNOW,P13042110852,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-13 20:12:00,26.836,81.023,2021,4,13,20,12,0,1,2021-04-13,Tuesday
131,131,LUCKNOW,P13042112553,C1,PS1,PHONE,Corona,Help For Other,2021-04-13 21:52:00,26.837,81.02,2021,4,13,21,52,0,1,2021-04-13,Tuesday
132,132,LUCKNOW,P13042113389,C1,PS1,TWITTER,Corona,Help For Other,2021-04-13 22:35:00,26.821,81.012,2021,4,13,22,35,0,1,2021-04-13,Tuesday
133,133,LUCKNOW,P14042103221,C1,PS1,PHONE,Theft,Residential Building,2021-04-14 09:57:00,26.84,81.051,2021,4,14,9,57,0,2,2021-04-14,Wednesday
134,134,LUCKNOW,P14042103550,C1,PS1,PHONE,Missing,Grp- Person Accident By Train ,2021-04-14 10:25:00,26.838,81.008,2021,4,14,10,25,0,2,2021-04-14,Wednesday
135,135,LUCKNOW,P14042104588,C1,PS1,PHONE,Encroachment,On Road,2021-04-14 11:55:00,26.839,81.026,2021,4,14,11,55,0,2,2021-04-14,Wednesday
136,136,LUCKNOW,P14042105413,C1,PS1,PHONE,Threat In Person,Attack,2021-04-14 13:01:00,26.839,81.0,2021,4,14,13,1,0,2,2021-04-14,Wednesday
137,137,LUCKNOW,P14042105538,C1,PS1,PHONE,Crime On Phone Mobile Social Media Internet,Abuse Women,2021-04-14 13:12:00,26.832,81.018,2021,4,14,13,12,0,2,2021-04-14,Wednesday
138,138,LUCKNOW,P14042106887,C1,PS1,PHONE,Dispute,Money Transactions Dispute,2021-04-14 15:13:00,26.839,81.014,2021,4,14,15,13,0,2,2021-04-14,Wednesday
139,139,LUCKNOW,P14042107679,C1,PS1,PHONE,Female Sexual Harrassment,Teasing On Public Place,2021-04-14 16:37:00,26.84,81.012,2021,4,14,16,37,0,2,2021-04-14,Wednesday
140,140,LUCKNOW,P15042101882,C1,PS1,PHONE,Pollution,Pollution By Dj/Band/Cracker/Others Means,2021-04-15 02:46:00,26.844,81.01,2021,4,15,2,46,0,3,2021-04-15,Thursday
141,141,LUCKNOW,P15042102876,C1,PS1,PHONE,Corona,Help For Other,2021-04-15 07:21:00,26.839,81.028,2021,4,15,7,21,0,3,2021-04-15,Thursday
142,142,LUCKNOW,P15042104123,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-15 09:25:00,26.833,81.022,2021,4,15,9,25,0,3,2021-04-15,Thursday
143,143,LUCKNOW,P15042106039,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-15 11:51:00,26.839,81.026,2021,4,15,11,51,0,3,2021-04-15,Thursday
144,144,LUCKNOW,P15042107746,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-15 13:57:00,26.85,81.048,2021,4,15,13,57,0,3,2021-04-15,Thursday
145,145,LUCKNOW,P15042107768,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-15 13:59:00,26.842,81.047,2021,4,15,13,59,0,3,2021-04-15,Thursday
146,146,LUCKNOW,P15042107909,C1,PS1,PHONE,Dispute,Other Dispute,2021-04-15 14:10:00,26.836,81.009,2021,4,15,14,10,0,3,2021-04-15,Thursday
