,Unnamed: 0,district,Event,circle,policeStation,source,eventType,eventSubType,time,lat,long
309,309,LUCKNOW,P10052110370,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-10 19:35:47,26.85,81.051
312,312,LUCKNOW,P13052100761,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-13 05:16:28,26.851,81.049
342,342,LUCKNOW,P16052101107,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-16 05:01:42,26.841,81.025
349,349,LUCKNOW,P16052114647,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-16 20:27:47,26.829,81.053
351,351,LUCKNOW,P17052102353,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-17 07:44:07,26.825,81.015
352,352,LUCKNOW,P17052105345,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-17 10:47:50,26.839,81.044
353,353,LUCKNOW,P17052106079,C1,PS1,PHONE,Domestic Violence,Domestic Violence Against Men Or Boy Or Seniormen,2021-05-17 11:35:29,26.843,81.047
361,361,LUCKNOW,P17052119089,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-17 22:25:50,26.826,81.014
362,362,LUCKNOW,P17052120387,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-17 23:50:43,26.828,81.014
366,366,LUCKNOW,P19052100116,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-19 00:19:11,26.844,81.041
367,367,LUCKNOW,P19052100499,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-19 02:03:37,26.825,81.012
371,371,LUCKNOW,P19052109843,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-19 17:50:44,26.839,81.028
373,373,LUCKNOW,P19052113834,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-19 22:01:22,26.829,81.053
403,403,LUCKNOW,P22052116564,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-22 22:58:09,26.825,81.012
416,416,LUCKNOW,P24052108615,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-24 15:12:38,26.851,81.036
428,428,LUCKNOW,P26052109461,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-26 15:13:06,26.825,81.026
436,436,LUCKNOW,P27052103970,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-27 09:12:29,26.845,81.046
439,439,LUCKNOW,P27052111452,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-27 18:05:25,26.838,81.062
440,440,LUCKNOW,P27052111923,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-27 18:37:20,26.841,81.022
444,444,LUCKNOW,P27052116658,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-27 22:42:57,26.842,81.0
450,450,LUCKNOW,P29052109270,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-29 16:41:39,26.846,81.027
458,458,LUCKNOW,P29052116943,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-29 22:49:16,26.847,81.039
482,482,LUCKNOW,P01062109523,C1,PS1,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-06-01 16:47:47,26.827,81.055
483,483,LUCKNOW,P01062109780,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-01 17:02:57,26.829,81.053
485,485,LUCKNOW,P01062112643,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-01 19:55:21,26.839,81.028
488,488,LUCKNOW,P01062116746,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-01 23:03:32,26.846,81.02
490,490,LUCKNOW,P02062103474,C1,PS1,PHONE,Domestic Violence,Family Members Beat Wife,2021-06-02 09:12:56,26.844,81.011
491,491,LUCKNOW,P02062105442,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-02 11:12:22,26.831,81.026
495,495,LUCKNOW,P02062110991,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-02 17:34:28,26.836,81.017
496,496,LUCKNOW,P02062111033,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-02 17:36:24,26.843,81.015
501,501,LUCKNOW,P03062113279,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-03 19:01:19,26.842,81.007
504,504,LUCKNOW,P03062117111,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-03 21:50:11,26.845,81.027
506,506,LUCKNOW,P04062100177,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-04 00:15:36,26.839,81.026
508,508,LUCKNOW,P04062102446,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-04 07:23:25,26.834,81.011
509,509,LUCKNOW,P04062107628,C1,PS1,PHONE,Domestic Violence,House Arrest,2021-06-04 12:40:48,26.836,81.017
517,517,LUCKNOW,P05062113206,C1,PS1,PHONE,Domestic Violence,House Arrest,2021-06-05 18:33:46,26.839,81.026
525,525,LUCKNOW,P06062120450,C1,PS1,PHONE,Domestic Violence,Beat Children By Familymembers,2021-06-06 22:33:48,26.842,81.027
531,531,LUCKNOW,P07062111258,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-07 16:38:39,26.839,81.026
534,534,LUCKNOW,P07062118915,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-07 22:16:51,26.818,81.014
536,536,LUCKNOW,P08062101732,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-08 06:10:32,26.845,81.032
542,542,LUCKNOW,P08062114128,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-08 18:53:42,26.833,81.006
546,546,LUCKNOW,P09062109149,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-09 14:27:47,26.834,81.016
550,550,LUCKNOW,P09062114982,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-09 20:01:42,26.834,81.011
554,554,LUCKNOW,P10062100506,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-10 00:54:35,26.835,81.008
556,556,LUCKNOW,P10062105909,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-10 10:58:33,26.826,81.011
562,562,LUCKNOW,P10062116995,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-10 21:29:32,26.823,81.016
569,569,LUCKNOW,P11062112731,C1,PS1,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-06-11 18:26:46,26.839,81.027
571,571,LUCKNOW,P11062116727,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-11 21:32:56,26.834,81.016
572,572,LUCKNOW,P11062118244,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-11 22:29:37,26.839,81.026
582,582,LUCKNOW,P12062120012,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-12 23:08:43,26.835,81.008
583,583,LUCKNOW,P12062120040,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-12 23:10:23,26.839,81.026
586,586,LUCKNOW,P13062102455,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-13 07:59:55,26.828,81.013
607,607,LUCKNOW,P16062105061,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-16 11:34:02,26.842,81.021
614,614,LUCKNOW,P16062114326,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-16 22:06:35,26.84,81.026
621,621,LUCKNOW,P17062114327,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-17 23:03:49,26.83,81.019
623,623,LUCKNOW,P18062113541,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-18 22:38:06,26.825,81.026
625,625,LUCKNOW,P18062113703,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-18 22:48:52,26.825,81.028
626,626,LUCKNOW,P18062114572,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-18 23:56:19,26.848,81.048
646,646,LUCKNOW,P21062107229,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-21 14:17:38,26.843,81.024
655,655,LUCKNOW,P22062112613,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-22 20:48:13,26.835,81.014
664,664,LUCKNOW,P24062100040,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-24 00:03:11,26.85,81.034
665,665,LUCKNOW,P24062105516,C1,PS1,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-24 12:01:00,26.835,81.008
670,670,LUCKNOW,P25062104528,C1,PS1,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-25 10:33:54,26.827,81.044
675,675,LUCKNOW,P25062115216,C1,PS1,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-25 22:14:34,26.829,81.016
696,696,LUCKNOW,P28062106514,C1,PS1,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-06-28 12:44:57,26.837,81.016
718,718,LUCKNOW,P01042106734,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-01 15:29:00,26.849,81.013
723,724,LUCKNOW,P01042112241,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-01 23:00:00,26.854,81.011
725,726,LUCKNOW,P01042112645,C1,PS2,PHONE,Domestic Violence,Insult Of Senior Citizen,2021-04-01 23:36:00,26.849,81.012
727,728,LUCKNOW,P02042102907,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-02 10:16:00,26.865,80.975
728,729,LUCKNOW,P02042104496,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,2021-04-02 12:33:00,26.845,80.998
749,750,LUCKNOW,P03042109979,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-03 21:05:00,26.852,80.992
763,764,LUCKNOW,P04042113071,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-04 21:40:00,26.852,80.99
764,765,LUCKNOW,P04042113703,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-04 22:15:00,26.849,80.995
765,766,LUCKNOW,P04042114528,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-04 23:03:00,26.854,80.991
773,774,LUCKNOW,P05042110744,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-05 21:28:00,26.855,80.991
774,775,LUCKNOW,P05042110823,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-05 21:33:00,26.846,81.004
792,793,LUCKNOW,P07042104137,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-07 11:49:00,26.864,80.981
799,800,LUCKNOW,P07042106898,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-07 16:37:00,26.854,80.986
803,804,LUCKNOW,P07042108864,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-07 19:53:00,26.852,80.99
804,805,LUCKNOW,P07042108895,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-07 19:56:00,26.856,80.99
820,821,LUCKNOW,P08042110231,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-08 21:07:00,26.847,80.987
912,913,LUCKNOW,P12042111835,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-12 21:43:00,26.858,81.001
921,922,LUCKNOW,P13042104447,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-13 11:45:00,26.854,81.011
939,940,LUCKNOW,P14042109927,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-14 20:04:00,26.842,80.997
946,947,LUCKNOW,P15042107718,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-04-15 13:55:00,26.846,81.004
986,987,LUCKNOW,P17042109483,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-17 17:47:00,26.849,80.997
1001,1002,LUCKNOW,P18042107898,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-04-18 15:32:00,26.849,81.014
1009,1010,LUCKNOW,P19042103605,C1,PS2,PHONE,Domestic Violence,Domestic Violence Against Men Or Boy Or Seniormen,2021-04-19 08:43:00,26.847,81.003
1019,1020,LUCKNOW,P19042112511,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-19 16:32:00,26.859,80.975
1025,1026,LUCKNOW,P19042120567,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-19 23:10:00,26.851,81.005
1046,1047,LUCKNOW,P21042105922,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-21 13:41:00,26.842,80.996
1073,1074,LUCKNOW,P22042108447,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-04-22 19:40:00,26.86,81.0
1163,1165,LUCKNOW,P28042103270,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-04-28 08:59:00,26.851,81.013
1211,1213,LUCKNOW,P03052102982,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-03 08:56:53,26.852,80.997
1215,1217,LUCKNOW,P03052105062,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-03 11:14:20,26.852,80.997
1217,1219,LUCKNOW,P03052105222,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-03 11:25:14,26.856,80.99
1224,1226,LUCKNOW,P04052104255,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-04 10:32:07,26.857,80.995
1226,1228,LUCKNOW,P04052105836,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,2021-05-04 12:19:01,26.851,80.988
1228,1230,LUCKNOW,P04052108098,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-04 15:09:22,26.848,80.996
1230,1232,LUCKNOW,P04052109568,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-04 17:01:23,26.85,81.013
1232,1234,LUCKNOW,P05052107702,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-05 15:04:36,26.851,81.008
1236,1238,LUCKNOW,P05052111884,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-05 20:21:37,26.857,81.014
1237,1239,LUCKNOW,P05052113150,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-05 21:41:13,26.856,80.998
1273,1275,LUCKNOW,P09052109319,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,2021-05-09 18:21:43,26.854,81.008
1274,1276,LUCKNOW,P09052110038,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-05-09 19:23:31,26.846,81.009
1277,1279,LUCKNOW,P10052100289,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-10 01:28:52,26.85,80.993
1294,1296,LUCKNOW,P11052109077,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-05-11 16:56:23,26.864,80.981
1310,1312,LUCKNOW,P13052113506,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-13 19:41:43,26.846,80.997
1318,1320,LUCKNOW,P14052103801,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-14 09:22:56,26.846,80.997
1319,1321,LUCKNOW,P14052105698,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-14 11:30:04,26.842,80.992
1321,1323,LUCKNOW,P14052108743,C1,PS2,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-05-14 14:51:59,26.855,81.018
1327,1329,LUCKNOW,P14052118843,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-14 22:42:21,26.852,80.982
1329,1331,LUCKNOW,P15052102374,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-15 07:16:22,26.849,80.996
1341,1343,LUCKNOW,P15052116496,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-15 21:15:22,26.851,80.99
1343,1345,LUCKNOW,P15052117978,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-15 22:06:02,26.858,80.989
1347,1349,LUCKNOW,P16052102178,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-16 07:26:52,26.844,81.0
1349,1351,LUCKNOW,P16052105096,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-16 10:30:25,26.857,81.014
1356,1358,LUCKNOW,P16052115415,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-16 20:56:55,26.842,80.996
1362,1364,LUCKNOW,P17052104294,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-17 09:45:16,26.849,81.0
1371,1373,LUCKNOW,P17052119555,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-05-17 22:50:59,26.852,80.989
1372,1374,LUCKNOW,P18052101485,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-18 06:55:08,26.853,81.0
1373,1375,LUCKNOW,P18052103226,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-18 09:20:28,26.844,81.0
1374,1376,LUCKNOW,P18052103722,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-18 09:53:48,26.85,81.013
1375,1377,LUCKNOW,P18052104063,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-18 10:18:24,26.862,80.987
1376,1378,LUCKNOW,P18052104802,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-05-18 11:11:00,26.865,80.975
1379,1381,LUCKNOW,P18052110819,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-18 17:42:08,26.854,81.001
1384,1386,LUCKNOW,P18052117723,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-18 23:03:41,26.849,80.989
1385,1387,LUCKNOW,P18052117905,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-18 23:17:44,26.854,80.991
1392,1394,LUCKNOW,P19052114247,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-05-19 22:31:14,26.852,80.987
1399,1401,LUCKNOW,P20052113362,C1,PS2,PHONE,Domestic Violence,Expelling Kids From Home,2021-05-20 22:33:39,26.843,80.993
1402,1404,LUCKNOW,P21052104258,C1,PS2,PHONE,Domestic Violence,Expelling Senior Citizen From House,2021-05-21 11:41:16,26.859,81.005
1412,1414,LUCKNOW,P22052109681,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-22 16:56:30,26.857,81.011
1413,1415,LUCKNOW,P22052112455,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-22 19:45:35,26.847,81.019
1418,1420,LUCKNOW,P23052105687,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-23 11:43:55,26.853,80.99
1443,1445,LUCKNOW,P25052116414,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-25 21:25:08,26.853,81.005
1448,1450,LUCKNOW,P26052108075,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-26 13:32:32,26.856,80.973
1454,1456,LUCKNOW,P26052112775,C1,PS2,PHONE,Domestic Violence,Other Kind Torturing To Senior Citizen,2021-05-26 18:37:26,26.858,80.997
1456,1458,LUCKNOW,P26052115491,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-26 20:51:31,26.852,80.99
1458,1460,LUCKNOW,P26052119676,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-26 23:34:37,26.864,80.981
1461,1463,LUCKNOW,P27052100631,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-27 00:52:49,26.857,81.008
1473,1475,LUCKNOW,P27052117543,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-27 23:43:25,26.848,81.014
1482,1484,LUCKNOW,P28052116634,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-05-28 23:40:57,26.863,80.979
1490,1492,LUCKNOW,P29052117806,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-29 23:42:51,26.862,80.985
1491,1493,LUCKNOW,P30052100047,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-30 00:04:12,26.855,80.992
1493,1495,LUCKNOW,P30052101141,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-30 03:56:23,26.852,80.988
1496,1498,LUCKNOW,P30052109446,C1,PS2,PHONE,Domestic Violence,Harrasment By Inlaws,2021-05-30 15:28:41,26.849,81.017
1504,1506,LUCKNOW,P30052117473,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-05-30 22:41:04,26.841,80.992
1509,1511,LUCKNOW,P31052107295,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-05-31 12:57:02,26.842,80.997
1536,1538,LUCKNOW,P01062109933,C1,PS2,PHONE,Domestic Violence,Beating Senior Citizen,2021-06-01 17:12:21,26.856,80.998
1539,1541,LUCKNOW,P01062111330,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-01 18:39:13,26.853,80.99
1542,1544,LUCKNOW,P02062101809,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-02 07:23:36,26.852,80.99
1551,1553,LUCKNOW,P02062119514,C1,PS2,PHONE,Domestic Violence,Husband To Beat Wife,2021-06-02 23:56:52,26.842,80.991
1576,1578,LUCKNOW,P04062111794,C1,PS2,PHONE,Domestic Violence,Husband Relatives To Beat Wife,2021-06-04 17:24:28,26.853,81.013
1581,1583,LUCKNOW,P04062118657,C1,PS2,PHONE,Domestic Violence,Family Dispute With Sr. Citizen,2021-06-04 22:40:53,26.852,80.99
1592,1594,LUCKNOW,P05062119354,C1,PS2,PHONE,Domestic Violence,Beat Children By Familymembers,2021-06-05 22:47:30,26.856,81.016
1595,1597,LUCKNOW,P06062100094,C1,PS2,PHONE,Domestic Violence,Expellinghouse Wife By Husband Or Family Members From House,2021-06-06 00:06:08,26.842,80.994
